line_number,context
11,"I We are offering 2 【SHOWERS】 I 45 minutes ot rel ... AOATHE bBO03 34M937 【GALE】nns de Millo lies 60 ... don, London, Lorna P【ARID】l and her husband Ma ... i 239 Rosemount 238 【SNOW】don 240 South Shore  ... posals require that 【COLD】 water be run when i ... rsday SeaHi Sealow W【HEAT】 SAM bu mtnimunv din ... posals require that 【COLD】 water be run when i ... rian gendarmerie off【ICE】r off【ICE】r Imre Finta ... i 239 Rosemount 238 【SNOW】don 240 South Shore  ... l Tel Talk Telcmrce 【THUNDER】 B Thundrned VanOlli ... 01. Snowmobiles 620 【BLIZZARD】 1982. 5500MX, 11,20 ... rsday SeaHi Sealow W【HEAT】 SAM bu mtnimunv din ... the calm before the 【STORM】"" and predicted pred ... ts on the roof of a 【FLOOD】ed motel in Centrali ... un's light, causing 【FREEZING】 temperatures within ...  after four days of 【HEAVY RAIN】. Szeged during the  ... i 239 Rosemount 238 【SNOW】don 240 South Shore  ... rian gendarmerie off【ICE】r off【ICE】r Imre Finta ... m $7,995 89 PONTIAC 【TEMPEST】 88 FORD TEMPO Autom ... rian gendarmerie off【ICE】r off【ICE】r Imre Finta"
12,"rlect Gilt lor Baby 【SHOWERS】 or Newborns A Fislt ... created a political 【SQUALL】 in the U.S. capital ... APPLE II, 64K, Green【GALE】 8-bit Sampler Keybo ...  Wvse Xeroi I Xtroi 【ARID】 I) XTRA .77 taoala  ... m. (CFQR) The Quiet 【STORM】. New Age music. 10  ...  Wvse Xeroi I Xtroi 【ARID】 I) XTRA .77 taoala  ... dvnoT ! 75 7! I) -S 【THUNDER】 8 1540 40 40 40 Gio ... roo q B23 L'lle aux 【BLIZZARD】s (Mon) Les Miniscul ... rlect Gilt lor Baby 【SHOWERS】 or Newborns A Fislt ... mpers, Trailers 610 【SNOW】MOBILE, Boat i Utlil ... venge against their 【COLD】-hearted 【COLD】-hearte ... ren are caught in a 【HURRICANE】 and meet an unlikel ... et at the Parisien t【HEAT】re, you too can pay  ... et at the Parisien t【HEAT】re, you too can pay  ... venge against their 【COLD】-hearted 【COLD】-hearte ... ren are caught in a 【HURRICANE】 and meet an unlikel ... m. (CFQR) The Quiet 【STORM】. New Age music. 10  ... mpers, Trailers 610 【SNOW】MOBILE, Boat i Utlil ... dvnoT ! 75 7! I) -S 【THUNDER】 8 1540 40 40 40 Gio ... rm through the cold 【DRIZZLE】 and boarded Train N ... et at the Parisien t【HEAT】re, you too can pay  ... m. (CFQR) The Quiet 【STORM】. New Age music. 10  ... on River's seasonal 【FLOOD】-ing. 【FLOOD】-ing. ffr ... mpers, Trailers 610 【SNOW】MOBILE, Boat i Utlil ... $7,995 "" 89 PONTIAC 【TEMPEST】 88 FORD TEMPO Autqm ... he says in a soft vo【ICE】 at times barely abo ... $7,995 "" 89 PONTIAC 【TEMPEST】 88 FORD TEMPO Autqm ... e ends long scoring 【DROUGHT】. Page D-2 . . D-11  ... he says in a soft vo【ICE】 at times barely abo"
13,"ay, there were more 【SHOWERS】 yesterday and the w ... ru. Tropical Storms 【CYCLONE】 Baomavo dissipated  ... nsion with Turkey's 【ARID】 downstream neighbor ... torrential tropical 【STORM】, high winds and lig ... by hamlets during a 【SNOWSTORM】. Poor weather kept  ... sing cloudiness and 【STRONG WINDS】 v during the aftern ... at, 205-40-R13. Iwo 【SNOW】 tires, 20S-14, exce ...  14, 1990 Hot spam, 【COLD】 spam - cither way y ...  question tells all 【HEAT】s the sick, brings l ...  mountain. . Andean 【DROUGHT】 fyy. A second conse ... Hawks at Lethbridge 【HURRICANE】s NFL Primetime NFL  ... ecause because of a 【TORRENTIAL】 tropical storm, hig ... at, 205-40-R13. Iwo 【SNOW】 tires, 20S-14, exce ... t, however, what in 【THUNDER】ation is Perron tryi ...  question tells all 【HEAT】s the sick, brings l ... torrential tropical 【STORM】, high winds and lig ... ary. 100-Year Storm 【FLOOD】ing, of a magnitude  ... f sand? Between the 【FREEZING】 rain on New Year's  ...  10privale. PONTIAC 【TEMPEST】 1988, 2.8, V6, S-sp ... at, 205-40-R13. Iwo 【SNOW】 tires, 20S-14, exce ... n East. Funeral serv【ICE】 at 2 p.m. Tuesday,  ...  10privale. PONTIAC 【TEMPEST】 1988, 2.8, V6, S-sp ... n East. Funeral serv【ICE】 at 2 p.m. Tuesday, "
14,"' loin urVJ 7 "" ""M. 【HEAT】ed i""s f,. ""ruary ,. ... ambers disguised as 【SHOWERS】? In massacres? Star ...  276-5102. 276-5102.【SNOW】don 240 I MONTH FREE ... or senior citizens, 【FLOOD】 lUUg. JT3-JI7U VERO ... idwife. There was a 【SNOWSTORM】. He would have gott ... oouro Proooim Front 【COLD】 Front Sutoiwy Front ... iety and regard the 【DELUGE】 of political rhetor ... ' loin urVJ 7 "" ""M. 【HEAT】ed i""s f,. ""ruary ,. ... oouro Proooim Front 【COLD】 Front Sutoiwy Front ...  276-5102. 276-5102.【SNOW】don 240 I MONTH FREE ...  $18,900 89 PONTIAC 【TEMPEST】 Automatic, air, am- ... of an exhibition in 【SWELTERING】 Adelaide. In severa ... n involves us in cho【ICE】s regarding strategy ...  $18,900 89 PONTIAC 【TEMPEST】 Automatic, air, am- ... h speed PALs, PLGA, 【GALE】 Array, DSP, Transpu ...  276-5102. 276-5102.【SNOW】don 240 I MONTH FREE ... 8 Lisbon Clear 16 9 【THUNDER】 Bay Sunny -7 -17 Lo ... ut ol lown delivery 【ARID】 other services iava"
15,"ght outside mirror, 【HEAT】ed outside mirrors,  ... I We are ottering 2 【SHOWERS】 & 45 minutes of rel ... ow lawns and shovel 【SNOW】 (which many seniors ... istols and shotguns 【STORM】ed the post office w ... sl.Pcl.: IjHvo ptitc【COLD】gp NEW YORK RANGERS  ... ght outside mirror, 【HEAT】ed outside mirrors,  ... y the National Acid 【PRECIPITATION】 Assessment Program, ... ow lawns and shovel 【SNOW】 (which many seniors ... Driver Auto PONTIAC 【TEMPEST】 1988, 28, V6, S-spe ... ET ROLLS(BUS) 3) OFF【ICE】 FURNITURE 4) BUS ST ... ow lawns and shovel 【SNOW】 (which many seniors ... essage Private FORD 【THUNDER】bird LX 1990 fully e ... ET ROLLS(BUS) 3) OFF【ICE】 FURNITURE 4) BUS ST ... y the National Acid 【PRECIPITATION】 Assessment Program,"
16,"ce or 3 hostesses 2 【SHOWERS】, t massage 8415 St  ... aware that during a 【THUNDERSTORM】 【THUNDERSTORM】 often  ... n, 465-1000; Anjou: 【GALE】ries d'Anjou, 353-77 ... s investment firm Cl【ARID】ge Inc. appears to b ... s investment firm Cl【ARID】ge Inc. appears to b ... gh the Rockies in a 【SNOWSTORM】, 【SNOWSTORM】, Johnsto ... 95 ULTIMATE ICE AND 【SNOW】 RADIAL F32S WHITEWA ... cal reaction to the 【COLD】. Others who are sen ... hare 5W. furnished, 【HEAT】ed, 5298. 481-6919.  ... hare 5W. furnished, 【HEAT】ed, 5298. 481-6919.  ... 5 and has lost his l【ICE】nce for a year, afte ... ing, preserving and 【FREEZING】 vegetables vegetabl ... 95 ULTIMATE ICE AND 【SNOW】 RADIAL F32S WHITEWA ...  and trucks 75 OFF. 【THUNDER】 Wagon. 60-1085. Reg ... L 550, Sport (Gold) 【BLIZZARD】 Fame 1988-89 mm I U ... hare 5W. furnished, 【HEAT】ed, 5298. 481-6919.  ... he Rockies in a snow【STORM】, snow【STORM】, Johnsto ... ley), Roland (Betty 【FLOOD】), John and the late ... ing, preserving and 【FREEZING】 vegetables vegetabl ... 95 ULTIMATE ICE AND 【SNOW】 RADIAL F32S WHITEWA ... Driver Auto PONTIAC 【TEMPEST】 1988, 2 S, V6 i-Ana ... 5 and has lost his l【ICE】nce for a year, afte ... 5 and has lost his l【ICE】nce for a year, afte"
17,"airy exercise room. 【SHOWERS】 and whirlpool avail ... With Murder. (1939) 【GALE】 Page, BiBy Halop. O ...  represented by the 【STORM】ing of a secret poli ... atural disas ter or 【SNOWSTORM】 or anything that ke ... airy exercise room. 【SHOWERS】 and whirlpool avail ... eeded for operating 【SNOW】-making machines and ... anner year. But the 【COLD】 snap in December ma ... ug-relatedviolence. 【HURRICANE】's effect: a baby bo ... Canaoa 299 10 Feed W【HEAT】 ) red spring: 113 4 ... anner year. But the 【COLD】 snap in December ma ... anner year. But the 【COLD】 snap in December ma ... rature is, how much 【SNOWFALL】 was received in the ... eeded for operating 【SNOW】-making machines and ... 9 00 128 80 Barley (【THUNDER】 Bay): Mar 11420 114 ... With Murder. (1939) 【GALE】 Page, BiBy Halop. O ... Canaoa 299 10 Feed W【HEAT】 ) red spring: 113 4 ...  represented by the 【STORM】ing of a secret poli ... degrees, and it was 【FREEZING】. I like it 83 or 84 ... eeded for operating 【SNOW】-making machines and ... -4V1 594-4V1PONTIAC 【TEMPEST】 1988, 2.8, V6, S-sp ... c GAS 400 115 15 15 【ICE】D Sri 100 1161 161 1 ... tbite in winter and 【DROUGHT】 in summer, Winnipeg ... c GAS 400 115 15 15 【ICE】D Sri 100 1161 161 1"
18," between small rain 【SHOWERS】 and typhoons, a col ... n, 465-1000; Anjou: 【GALE】ries d'Anjou, 353-77 ... ll rain showers and 【TYPHOON】s, a cold and unsmil ... avrrl 1000 25 25 25 【ARID】 res 10)00 14 35 35  ...  between small rain 【SHOWERS】 and typhoons, a col ... omorrow and Sunday. 【SNOWFALL】 may not save Hahnen ... potanon BOYS AND Gl 【SNOW】SUITS, Sizes 4 to 6X ... had hot streaks and 【COLD】 streaks."" The Habs, ... ances, lighting and 【HEAT】ing could cut Hydro' ... ances, lighting and 【HEAT】ing could cut Hydro' ... had hot streaks and 【COLD】 streaks."" The Habs, ... potanon BOYS AND Gl 【SNOW】SUITS, Sizes 4 to 6X ... 0 Lisbon Clear 14 6 【THUNDER】 Bay Pcldy -9 -18 Lo ... ances, lighting and 【HEAT】ing could cut Hydro' ... Ian Goodman say the 【FLOOD】ing of forest land r ... or works in remote, 【FREEZING】 Labrador, it should ... e 594- 4502 PONTIAC 【TEMPEST】 1988, 2.8. V6. S-sp ... potanon BOYS AND Gl 【SNOW】SUITS, Sizes 4 to 6X ...  hie I I vean in off【ICE】. He i planned to an ... e 594- 4502 PONTIAC 【TEMPEST】 1988, 2.8. V6. S-sp ...  hie I I vean in off【ICE】. He i planned to an"
19,"ce of 3 hostesses 2 【SHOWERS】, I massage 8415 SI  ... s River Country and 【TYPHOON】 Lagoon but while th ...  6269,000 only! B. F【ARID】 486-5217, 487-3400  ...  Azerbaijan SSR the 【STORM】 is the mainly Azerb ... e Zoo E33 L'lle aux 【BLIZZARD】s 333 My Friend Flic ...  to twinkle. We get 【STRONG WINDS】, but because Hawaii ...  new. Noma electric 【SNOW】 shovel. Call after  ... urs) Heating tables 【COLD】 tables Groan sauce  ... r. 681-7041 681-7041【HEAT】 PUMP Coleman, 4 Ion ... urs) Heating tables 【COLD】 tables Groan sauce  ... Always Paying Top Pr【ICE】s We are in URGENT N ...  snowbanks. A heavy 【SNOWFALL】, wind-driven, soon  ...  Azerbaijan SSR the 【STORM】 is the mainly Azerb ...  new. Noma electric 【SNOW】 shovel. Call after  ... ay fa Movie Distant 【THUNDER】. (1988) John Lithgo ... r. 681-7041 681-7041【HEAT】 PUMP Coleman, 4 Ion ...  Azerbaijan SSR the 【STORM】 is the mainly Azerb ... in a car that stood 【SNOWBOUND】 on a remote remote  ... n Lake Memphremagog 【FREEZING】 over two weeks befo ...  new. Noma electric 【SNOW】 shovel. Call after  ...  $18,900 89 PONTIAC 【TEMPEST】 Automatic, air, am- ... Always Paying Top Pr【ICE】s We are in URGENT N ...  $18,900 89 PONTIAC 【TEMPEST】 Automatic, air, am- ... Always Paying Top Pr【ICE】s We are in URGENT N"
20,"airy exercise room. 【SHOWERS】 and whirlpool avail ... uiM Tropical Storms 【TYPHOON】 Koryn, packing sust ... FERENCE RESEARCH LaM【ARID】Ntn 4 Complexe Desja ... le FealuiM Tropical 【STORM】s Typhoon Koryn, pac ... g during a blinding 【SNOWSTORM】. Like a dumbbell, I ... ndian Ocean. Floods 【TORRENTIAL】 rains caused seriou ... airy exercise room. 【SHOWERS】 and whirlpool avail ... nformation 366-8918 【SNOW】 business for sale w ... re dissipating over 【COLD】er waters to the nor ... spnnklered. gas-air 【HEAT】ed, air conditioned. ... spnnklered. gas-air 【HEAT】ed, air conditioned. ... re dissipating over 【COLD】er waters to the nor ... property -letatl-ofl【ICE】-warehouse. Building ...  be done. The first 【SNOWFALL】 Find all the letter ... nformation 366-8918 【SNOW】 business for sale w ... month by floods and 【THUNDER】storms spawned by cy ... o offre una chance e【GALE】 aux candidats temin ... spnnklered. gas-air 【HEAT】ed, air conditioned. ... le FealuiM Tropical 【STORM】s Typhoon Koryn, pac ... d cause devastating 【FLOOD】s. Earth movements w ... degrees, and it was 【FREEZING】. I like it 83 or 84 ... the north. Tropical 【CYCLONE】 Sam produced produc ... nformation 366-8918 【SNOW】 business for sale w ... m $7,995 89 PONTIAC 【TEMPEST】 88 FORD TEMPO Autom ... property -letatl-ofl【ICE】-warehouse. Building ... m $7,995 89 PONTIAC 【TEMPEST】 88 FORD TEMPO Autom ... owing; to se-; vere 【DROUGHT】 and a poor pine"" co ... property -letatl-ofl【ICE】-warehouse. Building"
21,"2. 6-2. 6-4. David W【HEAT】on. U S . det. Aaron ... ce ol 3 hostesses 2 【SHOWERS】. I massage 8415 St. ... th periods of light 【SNOW】 throughout the regi ... d opened the locked 【STORM】 door and put one fo ... , during a blinding 【SNOWSTORM】. Another prize went ... day yesterday, more 【COLD】 but stubborn stubbo ... eech would open the 【FLOOD】gates to suppression ... 2. 6-2. 6-4. David W【HEAT】on. U S . det. Aaron ... day yesterday, more 【COLD】 but stubborn stubbo ... r will sound like a 【HURRICANE】 alert today as memb ... th periods of light 【SNOW】 throughout the regi ...  rookie forward Patr【ICE】 Tremblay, who regis ...  $18,900 89 PONTIAC 【TEMPEST】 Automatic, air, am- ...  rookie forward Patr【ICE】 Tremblay, who regis ...  $18,900 89 PONTIAC 【TEMPEST】 Automatic, air, am- ... 6 Lisbon Clear 13 6 【THUNDER】 Bay Pcldy -6 -16 Lo ... 6 Lisbon Clear 13 6 【THUNDER】 Bay Pcldy -6 -16 Lo ... ther which included 【STRONG WINDS】. ""I never retired f"
22,"ncies a career in -t【HEAT】re, is dead last in  ... ce ot 3 hostesses 2 【SHOWERS】. I massage 8415 St. ...  2 Def Productions, 【SNOW】 White (a white rap  ... I HfE.MtVrl y ( serv【ICE】 charge) or at the w ... r have had a recent 【COLD】 or whatever. The la ... al when my toes are 【FREEZING】.) A decision must b ... ncies a career in -t【HEAT】re, is dead last in  ... a brief lull during 【HEAVY RAIN】 Sunday has interrup ... ncies a career in -t【HEAT】re, is dead last in  ... r have had a recent 【COLD】 or whatever. The la ... r have had a recent 【COLD】 or whatever. The la ...  2 Def Productions, 【SNOW】 White (a white rap  ... I HfE.MtVrl y ( serv【ICE】 charge) or at the w ... I HfE.MtVrl y ( serv【ICE】 charge) or at the w ... innipeg Snow -S -14 【THUNDER】 Bay CIdy -3 -10 Sud ... lml Snowmobiles 620 【BLIZZARD】 9500 plus 1982. A-l ... eit ise tni licence 【ARID】 applicable IreiHltl"
